Year,ID,Please indicate your graduation status.,Please provide your year of enrollment (graduation year for graduates),Are you currently employed?,Are you pursuing a major other than Library and Information Science(LIS)?,Did you have a career goal when you entered school?,What is your intended career path at the time of admission?,Do you currently have a career goal?,What career path do you intend to pursue currently?,Why aren't you currently pursuing a career path?,"If your career aspirations have changed since you entered school, what prompted the change?",What influenced your career aspirations then and now?,What are your usual career concerns?,How do you usually approach concerns regarding your career?,What are your favorite topics in the library and information science curriculum?,Describe any supplementary courses you'd wish to be introduced within the Department of LIS,What are the benefits of a multidisciplinary major?,What are the disadvantages of a multidisciplinary major?,Do you believe that obtaining a multidisciplinary major will enhance your employment prospects?,Did you choose a multidisciplinary major during your undergraduate program?,What multidisciplinary major have you chosen?,"If you've designed your own major(self-design major) or pursued multiple majors, please provide a list of all the majors included in your program.",What influenced your decision to pursue this multidisciplinary major?,What are some of the challenges and issues you faced while completing a multidisciplinary program?,What influenced your choice to not complete a multidisciplinary major?,How do you usually get information about employment?,Did you feel that information within the department was adequately shared about employment opportunities (when you were an undergraduate student),What is your preferred method of sharing information about employment within your department?,What career enrichment programs do you think are needed in the LIS?,What career-related programs do you think are needed in the LIS?,Please write any desired career-related programs in LIS that were not mentioned in the above options.,How do you think we should communicate with undergraduate students and alumni?,What career paths do you think are available to a LIS major?,Please write any possible career paths for LIS majors that aren't mentioned in the above options.,What field of work are you currently in or aiming for?,What type of library do you work in or want to work in?,What is your desired/current specific occupation?,What is your desired/current job area?,Please write in any additional desired or current career field.,What annual salary range are you hoping for or currently earning?,How long do you expect/did it take to become prepared for employment?,Are you currently taking any steps to prepare for your desired career path and future employment?,What specific activities or preparations are you currently undertaking/did you previously engage in to position yourself for your desired career path?,What has stopped you from pursuing your desired career path?,What was the toughest hurdle you faced while getting prepared for your job/career field?,What is the most important value for you when choosing a career path after getting a job?,What is your second most important value when choosing a career path?,What is your third most important value when choosing a career path?,Did your work values change after starting your job/career?,What has become the most important factor for you when considering career paths after gaining work experience?,What has become the second most important factor for you when considering career paths after gaining work experience?,What has become the third most important factor for you when considering career paths after gaining work experience?,How satisfied are you with your current job?,Would you recommend your current workplace to undergraduate students in the LIS?,"Are you considering going to graduate school, or have you already attended?",Which graduate school do you want to attend or have you attended?,"When do you plan to start graduate school, or when did you actually start your studies?",What is the purpose of attending graduate school?,What were some of the challenges you faced while getting ready for graduate school?,Why haven't you thought about attending graduate school?,Do you plan to go to graduate school in the future?,What graduate school are you interested in attending in the future?
2021,20210111,Undergraduate students,2020,N/A,N/Q,Yes,Librarians;Teacher librarians;Universities(Professor or Staff);Government employees (except librarians),Yes,Librarians;Teacher librarians;Universities(Professor or Staff);Private enterprise;Government employees (except librarians),N/A,Your desired career path is not different at either time,N/Q,No place to get career information,Do an internet search,Library management,N/R,Interdisciplinary opportunities,Credit burden;Time burden (possible extra semester),N/Q,No,N/A,N/A,N/A,N/A,E,"Government job sites (e.g. WorkNet, WorldJob, etc.);Internet portal sites (e.g. Google, Naver, etc.);The University's Career Center (e.g. Rainbow System)",Neither agree nor disagree,LIS website;LIS group chatting;Regular meetings between alumni and current students;Lectures about career,N/R,N/Q,N/Q,LIS group chatting;Meet with current students/alumni face-to-face;LIS website;LIS official Instagram,Librarians;Teacher librarians;Data specialist;Universities(Professor or Staff),N/Q,Government employees (except librarians),N/A,N/A,Librarian;General administrator,N/A,Over 40 million won and under 45 million won,1 year,Yes,Grades;Earn certifications;Language preparation,N/A,N/A,Work-Life balance,Aptitude and interest,Society perception,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,High tuition fees,N/A,N/A
2021,20210112,Undergraduate students,2020,N/A,N/Q,No,N/A,Yes,Teacher librarians,N/A,Identify new aptitudes/interests,N/Q,"I don't know what I'm interested in;I'm thinking about a career, but I don't have a clear direction",Discuss with friends;Do an internet search,Bibliography,N/R,Interdisciplinary opportunities;Expand your career options,Workload burden;Time burden (possible extra semester),N/Q,No,N/A,N/A,N/A,N/A,E,"Internet portal sites (e.g. Google, Naver, etc.)",Neither agree nor disagree,LIS website;Mail (sharing job information via personal email);Regular meetings between alumni and current students,N/R,N/Q,N/Q,Meet with current students/alumni face-to-face;LIS website;LIS official Instagram,Librarians;Teacher librarians;Data specialist;Publishing,N/Q,Government employees (except librarians),N/A,N/A,Teacher librarian,N/A,Over 40 million won and under 45 million won,2 years,Yes,Grades;Volunteer activity,N/A,N/A,Salary,Job security,Organizational culture,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,High tuition fees,N/A,N/A
2021,20210113,Undergraduate students,2018,N/A,N/Q,Yes,Archivist;Data specialist;Developers (programmers);Private enterprise,Yes,Publishing;Archivist;Private enterprise,N/A,Losing interest in academic-related jobs,N/Q,Other,Keep to yourself,Classification and cataloging,N/R,Interdisciplinary opportunities,Credit burden;Workload burden;Time burden (possible extra semester),N/Q,Yes,Convergence major-Cultural Content,N/A,Related to my interests and aptitudes;To fulfill career requirements,Burden of amount of studies,N/A,"Private recruitment sites (e.g. Job Korea, Saramin, etc.);The University's Career Center (e.g. Rainbow System)",Disagree,LIS website;Mail (sharing job information via personal email),N/R,N/Q,N/Q,"Meet with current students/alumni non-face-to-face (ZOOM, etc.);LIS website",Data specialist,N/Q,Private enterprise,N/A,Management/Office;IT/Internet,N/A,N/A,Over 30 million won and under 35 million won,1 year,Yes,Grades;Other,N/A,N/A,Self-realization,Salary,Aptitude and interest,N/A,N/A,N/A,N/A,N/A,N/A,Yes,LIS in same university as undergraduate,Immediately after graduation,Self-development;Strengthening of expertise,N/Q,N/A,N/A,N/A
2021,20210114,Undergraduate students,2019,N/A,N/Q,Yes,Librarians;Teacher librarians;Government employees (except librarians),Yes,Librarians;Teacher librarians;Public enterprise;Government employees (except librarians),N/A,Your desired career path is not different at either time,N/Q,"No place to get career information;I'm thinking about a career, but I don't have a clear direction",Discuss with friends;Talk to your seniors;Ask a professor for a consultation;Do an internet search,Classification and cataloging,Library Management/Planning;School library,Expand your career options,Credit burden;Workload burden;Time burden (possible extra semester),N/Q,No,N/A,N/A,N/A,N/A,E,"Private recruitment sites (e.g. Job Korea, Saramin, etc.);Internet portal sites (e.g. Google, Naver, etc.);The University's Career Center (e.g. Rainbow System)",Disagree,LIS official Instagram;LIS website;LIS group chatting;Regular meetings between alumni and current students;Lectures about career,Mentoring from department seniors and incumbents;Job fairs and career consulting,N/Q,N/Q,"LIS group chatting;Meet with current students/alumni non-face-to-face (ZOOM, etc.)",Librarians;Data specialist,N/Q,Librarians,Public libraries,N/A,N/A,N/A,Over 25 million won and under 30 million won,Other,Yes,Grades;Earn certifications;Volunteer activity;External activities (supporters/societies/clubs/studies/etc.),N/A,N/A,Job security,Aptitude and interest,Salary,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,Not interested in research;High tuition fees,N/A,N/A
2021,20210115,Undergraduate students,2019,N/A,N/Q,Yes,Librarians;Archivist;Data specialist,Yes,Librarians;Publishing,N/A,Losing interest in academic-related jobs,N/Q,"No place to get career information;I'm thinking about a career, but I don't have a clear direction",Discuss with friends;Do an internet search;Browse in Everytime,Library management,Information Science;Record management,Interdisciplinary opportunities;Expand your career options,Credit burden;Workload burden;Time burden (possible extra semester),N/Q,Yes,Convergence major-Cultural Content,N/A,Related to my interests and aptitudes;To fulfill career requirements,Difficulty organizing timetables,N/A,"Private recruitment sites (e.g. Job Korea, Saramin, etc.);Government job sites (e.g. WorkNet, WorldJob, etc.);Internet portal sites (e.g. Google, Naver, etc.)",Neither agree nor disagree,LIS official Instagram;Regular meetings between alumni and current students,Job fairs and career consulting,N/Q,N/Q,"LIS group chatting;Meet with current students/alumni non-face-to-face (ZOOM, etc.);LIS official Instagram",Various,N/Q,Private enterprise,N/A,Management/Office,N/A,N/A,Over 25 million won and under 30 million won,Within 1 year,Yes,Grades;Earn certifications;Volunteer activity;External activities (supporters/societies/clubs/studies/etc.),N/A,N/A,Aptitude and interest,Salary,Work-Life balance,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,Not interested in research,N/A,N/A
2021,20210116,Undergraduate students,2018,N/A,N/Q,Yes,Librarians;Teacher librarians;Archivist;Public enterprise;Government employees (except librarians),Yes,Librarians;Teacher librarians;Archivist;Public enterprise;Government employees (except librarians),N/A,Your desired career path is not different at either time,N/Q,No place to get career information,Do an internet search;Keep to yourself,Classification and cataloging,N/R,Interdisciplinary opportunities;Expand your career options;Expand your connections,Credit burden;Workload burden;Time burden (possible extra semester),N/Q,Yes,Multi major-Department of History,N/A,Related to my interests and aptitudes;To fulfill career requirements,Burden of amount of studies,N/A,"Internet portal sites (e.g. Google, Naver, etc.)",Disagree,LIS website;Regular meetings between alumni and current students;Lectures about career,N/R,N/Q,N/Q,"Meet with current students/alumni non-face-to-face (ZOOM, etc.);Meet with current students/alumni face-to-face;LIS website",E,N/Q,Librarians,Public libraries,N/A,N/A,N/A,Over 30 million won and under 35 million won,1 year,Yes,Grades;Earn certifications;Volunteer activity,N/A,N/A,Aptitude and interest,Job security,Society perception,N/A,N/A,N/A,N/A,N/A,N/A,Yes,LIS in same university as undergraduate,Immediately after graduation,Strengthening of expertise,N/Q,N/A,N/A,N/A
2021,20210117,Undergraduate students,2020,N/A,N/Q,Yes,Librarians;Government employees (except librarians),Yes,Librarians;Government employees (except librarians);Other,N/A,Your desired career path is not different at either time,N/Q,I don't know what I'm interested in;No place to get career information,Discuss with friends;Keep to yourself,Library management,N/R,Interdisciplinary opportunities;Expand your career options,Workload burden;Time burden (possible extra semester),N/Q,No,N/A,N/A,N/A,N/A,E,"Internet portal sites (e.g. Google, Naver, etc.)",Neither agree nor disagree,LIS website;LIS group chatting,N/R,N/Q,N/Q,Meet with current students/alumni face-to-face,Librarians,N/Q,Government employees (except librarians),N/A,N/A,Librarian,N/A,Over 40 million won and under 45 million won,2 years,Yes,Grades;Language preparation,N/A,N/A,Aptitude and interest,Salary,Job security,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,Not interested in research,N/A,N/A
2021,20210118,Undergraduate students,2020,N/A,N/Q,Yes,Librarians;Teacher librarians,Yes,Librarians;Teacher librarians,N/A,Your desired career path is not different at either time,N/Q,"I'm thinking about a career, but I don't have a clear direction",Do an internet search,Information Science,N/R,Other,Other,N/Q,No,N/A,N/A,N/A,N/A,E,"Private recruitment sites (e.g. Job Korea, Saramin, etc.);Government job sites (e.g. WorkNet, WorldJob, etc.);Internet portal sites (e.g. Google, Naver, etc.);The University's Career Center (e.g. Rainbow System)",Neither agree nor disagree,LIS website;Mail (sharing job information via personal email);LIS group chatting,N/R,N/Q,N/Q,LIS group chatting;Meet with current students/alumni face-to-face;LIS website;Everytime(student online community),Data specialist;Other,N/Q,Government employees (except librarians),N/A,N/A,Librarian,N/A,Over 35 million won and under 40 million won,2 years,Yes,Grades;Earn certifications,N/A,N/A,Self-realization,Work-Life balance,Aptitude and interest,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,Other,N/A,N/A
2021,20210119,Undergraduate students,2015,N/A,N/Q,No,N/A,Yes,Private enterprise,N/A,Identify new aptitudes/interests,N/Q,"I'm thinking about a career, but I don't have a clear direction",Discuss with friends;Talk to your seniors;Do an internet search,Classification and cataloging,N/R,Other,Weakened expertise,N/Q,Yes,Multi major-Department of English Language and Literature,N/A,Related to my interests and aptitudes,Lack of information,N/A,"Private recruitment sites (e.g. Job Korea, Saramin, etc.);Government job sites (e.g. WorkNet, WorldJob, etc.);Job fairs at corporate/government and related organizations",Neither agree nor disagree,Mail (sharing job information via personal email),N/R,N/Q,N/Q,"LIS group chatting;Meet with current students/alumni non-face-to-face (ZOOM, etc.)",Various,N/Q,Private enterprise,N/A,Management/Office;Sales/Customer Service;Service,N/A,N/A,Over 35 million won and under 40 million won,Within 1 year,Yes,Earn certifications;Language preparation;Practical exercise/Internship,N/A,N/A,Work-Life balance,Aptitude and interest,Job security,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,Other,N/A,N/A
2021,20210120,Undergraduate students,2019,N/A,N/Q,Yes,Librarians;Teacher librarians,Yes,Librarians;Government employees (except librarians),N/A,Your desired career path is not different at either time,N/Q,No place to get career information,Do an internet search,Classification and cataloging,N/R,Interdisciplinary opportunities,Time burden (possible extra semester),N/Q,No,N/A,N/A,N/A,N/A,E,"Internet portal sites (e.g. Google, Naver, etc.);The University's Career Center (e.g. Rainbow System)",Neither agree nor disagree,LIS official Instagram;LIS group chatting,N/R,N/Q,N/Q,LIS group chatting;LIS website;LIS official Instagram,Librarians;Teacher librarians;Data specialist;Archivist,N/Q,Librarians,National libraries;Public libraries;University libraries,N/A,N/A,N/A,Over 35 million won and under 40 million won,1 year,Yes,Grades;Volunteer activity;Language preparation;Extracurricular activities (clubs/sororities/societies/studies/etc.);External activities (supporters/societies/clubs/studies/etc.),N/A,N/A,Aptitude and interest,Job security,Work-Life balance,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,Other,N/A,N/A
2021,20210121,Undergraduate students,2020,N/A,N/Q,Yes,Other,Yes,Archivist;Private enterprise;Public enterprise,N/A,Other,N/Q,"I don't know what I'm interested in;No place to get career information;I'm thinking about a career, but I don't have a clear direction",Discuss with friends;Talk to your seniors;Do an internet search;Browse in Everytime;Keep to yourself,Information Science,N/R,Interdisciplinary opportunities;Expand your career options;Expand your connections,Credit burden;Workload burden;Time burden (possible extra semester);Weakened expertise,N/Q,No,N/A,N/A,N/A,N/A,E,"Private recruitment sites (e.g. Job Korea, Saramin, etc.);Internet portal sites (e.g. Google, Naver, etc.)",Disagree,LIS official Instagram;Regular meetings between alumni and current students;Lectures about career,Mentoring from department seniors and incumbents,N/Q,N/Q,Meet with current students/alumni face-to-face,Various,N/Q,Public enterprise,N/A,IT/Internet,N/A,N/A,Over 30 million won and under 35 million won,Within 1 year,Yes,Earn certifications;Extracurricular activities (clubs/sororities/societies/studies/etc.);External activities (supporters/societies/clubs/studies/etc.),N/A,N/A,Aptitude and interest,Self-realization,Job security,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,Not interested in research,N/A,N/A
2021,20210122,Undergraduate students,2019,N/A,N/Q,No,N/A,Yes,Librarians;Public enterprise;Other,N/A,Identify new aptitudes/interests,N/Q,"I'm thinking about a career, but I don't have a clear direction",Keep to yourself,Information Science,N/R,Interdisciplinary opportunities,Credit burden;Workload burden;Time burden (possible extra semester),N/Q,Yes,Convergence major-Software Humanities,N/A,Related to my interests and aptitudes,Burden of contents of studies,N/A,"Internet portal sites (e.g. Google, Naver, etc.)",Neither agree nor disagree,LIS group chatting,N/R,N/Q,N/Q,LIS group chatting,Various,N/Q,Other,N/A,N/A,N/A,Voice actors,Over 55 million won,3 years,Yes,Grades;Other,N/A,N/A,Aptitude and interest,Salary,Organizational culture,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,Not interested in research;High tuition fees;Dissatisfaction with graduate education,N/A,N/A
